TimeStamp;SR_avg_Q_MVar;SR_max_Q_MVar;SR_I1_A;SR_I2_A;SR_I3_A;SR_U12_kV;SR_U23_kV;SR_U31_kV;SR_U1_kV;SR_U2_kV;SR_U3_kV
2025-01-21 14:00:00;6,617;6,644;130,097;129,475;128,854;29,434;29,469;29,477;17,006;16,991;17,020
2025-01-21 14:10:00;6,639;6,647;130,127;129,525;128,904;29,502;29,533;29,548;17,047;17,032;17,058
2025-01-21 14:20:00;6,622;6,646;130,252;129,734;129,113;29,470;29,495;29,506;17,025;17,013;17,039
2025-01-21 14:30:00;6,611;6,630;130,252;129,734;129,113;29,427;29,448;29,463;17,008;16,987;17,013
2025-01-21 14:40:00;6,619;6,625;130,203;129,636;128,990;29,455;29,479;29,487;17,016;17,003;17,029
2025-01-21 14:50:00;6,611;6,611;130,148;129,527;128,854;29,432;29,463;29,469;17,008;16,992;17,018
2025-01-21 15:00:00;6,632;6,645;130,148;129,527;128,854;29,520;29,536;29,557;17,049;17,034;17,065
2025-01-21 15:10:00;6,629;6,629;130,148;129,527;128,854;29,463;29,510;29,510;17,013;17,013;17,049
2025-01-21 15:20:00;6,629;6,629;130,261;129,677;129,004;29,463;29,510;29,510;17,013;17,013;17,049
2025-01-21 15:30:00;6,622;6,629;130,304;129,734;129,061;29,457;29,505;29,503;17,011;17,010;17,046
2025-01-21 15:40:00;6,612;6,621;130,304;129,734;129,061;29,432;29,484;29,479;17,003;16,997;17,034
2025-01-21 15:50:00;6,590;6,603;130,038;129,501;128,828;29,368;29,405;29,410;16,963;16,958;16,984
2025-01-21 16:00:00;6,594;6,622;129,889;129,372;128,698;29,376;29,417;29,420;16,969;16,967;16,995
2025-01-21 16:10:00;6,614;6,623;129,889;129,372;128,698;29,434;29,485;29,489;17,007;17,003;17,030
2025-01-21 16:20:00;6,617;6,634;129,931;129,414;128,754;29,443;29,494;29,500;17,013;17,008;17,034
2025-01-21 16:30:00;6,643;6,652;130,200;129,682;129,113;29,450;29,501;29,506;17,017;17,011;17,038
2025-01-21 16:40:00;6,637;6,643;130,200;129,682;129,113;29,496;29,542;29,548;17,043;17,032;17,068
2025-01-21 16:50:00;6,640;6,645;130,339;129,781;129,192;29,469;29,515;29,526;17,034;17,018;17,054
2025-01-21 17:00:00;6,646;6,662;130,563;129,941;129,320;29,488;29,541;29,542;17,039;17,032;17,066
2025-01-21 17:10:00;6,655;6,662;130,563;129,941;129,320;29,509;29,566;29,561;17,047;17,047;17,078
2025-01-21 17:20:00;6,655;6,660;130,563;129,941;129,320;29,531;29,584;29,581;17,065;17,059;17,090
2025-01-21 17:30:00;6,656;6,660;130,563;129,941;129,320;29,531;29,567;29,577;17,065;17,054;17,086
2025-01-21 17:40:00;6,638;6,652;130,563;129,941;129,320;29,499;29,535;29,541;17,038;17,036;17,063
2025-01-21 17:50:00;6,643;6,646;130,409;129,787;129,166;29,494;29,531;29,536;17,034;17,034;17,060
2025-01-21 18:00:00;6,645;6,646;130,304;129,682;129,061;29,494;29,531;29,536;17,034;17,034;17,060
2025-01-21 18:10:00;6,636;6,651;130,304;129,682;129,061;29,485;29,519;29,527;17,030;17,027;17,054
2025-01-21 18:20:00;6,618;6,626;130,304;129,682;129,061;29,434;29,455;29,481;17,009;16,989;17,024
2025-01-21 18:30:00;6,620;6,631;130,304;129,682;129,061;29,465;29,488;29,507;17,025;17,010;17,033
2025-01-21 18:40:00;6,633;6,638;130,304;129,682;129,061;29,465;29,490;29,505;17,024;17,008;17,036
2025-01-21 18:50:00;6,635;6,660;130,304;129,682;129,061;29,485;29,507;29,523;17,035;17,019;17,046
2025-01-21 19:00:00;6,632;6,636;130,304;129,682;129,061;29,488;29,516;29,543;17,040;17,022;17,059
2025-01-21 19:10:00;6,620;6,630;130,304;129,682;129,061;29,465;29,481;29,511;17,027;17,001;17,037
2025-01-21 19:20:00;6,620;6,642;130,304;129,682;129,061;29,448;29,469;29,494;17,018;16,992;17,029
